Year	Dataset Name	Anatomy (Brain, Head, Neck, Eye, Cell, Chest, Heart, Abdomen, Pelvis, Vessel, Skin)	Modality	Segmentation Targets	# images	License	Data	Paper links	Note	bib
2020	VESSEL12	Chest	CT	Lung Vessel	40	Unknown 	Lung Vessel Segmentation (kaggle.com)	https://www.sciencedirect.com/science/article/abs/pii/S136184151400111X		@article{RUDYANTO20141217, title = "Comparing algorithms for automated vessel segmentation in computed tomography scans of the lung: the VESSEL12 study", journal = "Medical Image Analysis", volume = "18", number = "7", pages = "1217 - 1232", year = "2014", issn = "1361-8415", author = "Rina D. Rudyanto and Sjoerd Kerkstra and Eva M. [van Rikxoort] and Catalin Fetita and Pierre-Yves Brillet and Christophe Lefevre and Wenzhe Xue and Xiangjun Zhu and Jianming Liang and İlkay Öksüz and Devrim Ünay and Kamuran Kadipaşaogˇlu and Raúl San José Estépar and James C. Ross and George R. Washko and Juan-Carlos Prieto and Marcela Hernández Hoyos and Maciej Orkisz and Hans Meine and Markus Hüllebrand and Christina Stöcker and Fernando Lopez Mir and Valery Naranjo and Eliseo Villanueva and Marius Staring and Changyan Xiao and Berend C. Stoel and Anna Fabijanska and Erik Smistad and Anne C. Elster and Frank Lindseth and Amir Hossein Foruzan and Ryan Kiros and Karteek Popuri and Dana Cobzas and Daniel Jimenez-Carretero and Andres Santos and Maria J. Ledesma-Carbayo and Michael Helmberger and Martin Urschler and Michael Pienn and Dennis G.H. Bosboom and Arantza Campo and Mathias Prokop and Pim A. [de Jong] and Carlos Ortiz-de-Solorzano and Arrate Muñoz-Barrutia and Bram [van Ginneken]" }
2016	LUNA 16	Chest	CT	Lungm Trachea	1010 (1308 series)	CC BY 3.0	https://luna16.grand-challenge.org/Download/	https://www.sciencedirect.com/science/article/pii/S1361841517301020?via%3Dihub		@article{setio2017validation,   title={Validation, comparison, and combination of algorithms for automatic detection of pulmonary nodules in computed tomography images: the LUNA16 challenge},   author={Setio, Arnaud Arindra Adiyoso and Traverso, Alberto and De Bel, Thomas and Berens, Moira SN and Van Den Bogaard, Cas and Cerello, Piergiorgio and Chen, Hao and Dou, Qi and Fantacci, Maria Evelina and Geurts, Bram and others},   journal={Medical image analysis},   volume={42},   pages={1--13},   year={2017} }
2021	COVID-19-CT-Seg-Benchmark	Chest	CT	Lungs	402	CC BY 3.0	https://github.com/JunMa11/COVID-19-CT-Seg-Benchmark	https://www.nature.com/articles/s41467-022-30695-9 https://arxiv.org/abs/1902.09063 https://aapm.onlinelibrary.wiley.com/doi/10.1002/mp.14676 https://link.springer.com/article/10.1007/s10278-021-00460-3	Included in training set	@article{antonelli2022medical,   title={The medical segmentation decathlon},   author={Antonelli, Michela and Reinke, Annika and Bakas, Spyridon and Farahani, Keyvan and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and Ronneberger, Olaf and Summers, Ronald M and others},   journal={Nature Communications},   volume={13},   number={1},   pages={4128},   year={2022} } @article{simpson2019large,   title={A large annotated medical image dataset for the development and evaluation of segmentation algorithms},   author={Simpson, Amber L and Antonelli, Michela and Bakas, Spyridon and Bilello, Michel and Farahani, Keyvan and Van Ginneken, Bram and Kopp-Schneider, Annette and Landman, Bennett A and Litjens, Geert and Menze, Bjoern and others},   journal={arXiv preprint arXiv:1902.09063},   year={2019} } @article{MP-COVID-19-SegBenchmark,   title={Towards Data-Efficient Learning: A Benchmark for COVID-19 CT Lung and Infection Segmentation},   author = {Ma, Jun and Wang, Yixin and An, Xingle and Ge, Cheng and Yu, Ziqi and Chen, Jianan and Zhu, Qiongjie and Dong, Guoqiang and He, Jian and He, Zhiqiang and Cao, Tianjia and Zhu, Yuntao and Nie, Ziwei and Yang, Xiaoping},   journal = {Medical Physics},   volume = {48},   number = {3},   pages = {1197-1210},   doi = {https://doi.org/10.1002/mp.14676},   year = {2021} } @article{kiser2021novel,   title={Novel autosegmentation spatial similarity metrics capture the time required to correct segmentations better than traditional metrics in a thoracic cavity segmentation workflow},   author={Kiser, Kendall J and Barman, Arko and Stieb, Sonja and Fuller, Clifton D and Giancardo, Luca},   journal={Journal of Digital Imaging},   volume={34},   pages={541--553},   year={2021},   publisher={Springer} }
2021	NSCLC-PleuralEffusion	Chest	CT	PleuralEffusion	78	CC BY 3.0	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=68551327	https://link.springer.com/article/10.1007/s10278-021-00460-3	Included in training set	@article{kiser2020MP,   title={PleThora: Pleural effusion and thoracic cavity segmentations in diseased lungs for benchmarking chest CT processing pipelines},   author={Kiser, Kendall J and Ahmed, Sara and Stieb, Sonja and Mohamed, Abdallah SR and Elhalawani, Hesham and Park, Peter YS and Doyle, Nathan S and Wang, Brandon J and Barman, Arko and Li, Zhao and others},   journal={Medical Physics},   volume={47},   number={11},   pages={5941--5952},   year={2020} }  @article{kiser2021novel,   title={Novel autosegmentation spatial similarity metrics capture the time required to correct segmentations better than traditional metrics in a thoracic cavity segmentation workflow},   author={Kiser, Kendall J and Barman, Arko and Stieb, Sonja and Fuller, Clifton D and Giancardo, Luca},   journal={Journal of Digital Imaging},   volume={34},   pages={541--553},   year={2021},   publisher={Springer} }
2022	Parse 2022	Chest	CT	Pulmonary Artery	130	CC BY-NC-ND 6.0	 https://parse2022.grand-challenge.org/Dataset/	https://arxiv.org/abs/2304.03708	Authors are very responsive for data request	@article{luo2023efficient,   title={Efficient automatic segmentation for multi-level pulmonary arteries: The PARSE challenge},   author={Luo, Gongning and Wang, Kuanquan and Liu, Jun and Li, Shuo and Liang, Xinjie and Li, Xiangyu and Gan, Shaowei and Wang, Wei and Dong, Suyu and Wang, Wenyi and others},   journal={arXiv preprint arXiv:2304.03708},   year={2023} }
2018	NSCLC Radiogenomics	Chest	CT	tumor	88	CC BY 3.0	NSCLC Radiogenomics - The Cancer Imaging Archive (TCIA) Public Access - Cancer Imaging Archive Wiki	https://doi.org/10.1038/sdata.2018.202	Included in training set	@article{bakr2018radiogenomic,   title={A radiogenomic dataset of non-small cell lung cancer},   author={Bakr, Shaimaa and Gevaert, Olivier and Echegaray, Sebastian and Ayers, Kelsey and Zhou, Mu and Shafiq, Majid and Zheng, Hong and Benson, Jalen Anthony and Zhang, Weiruo and Leung, Ann NC and others},   journal={Scientific Data},   volume={5},   number={1},   pages={1--9},   year={2018} }
2018	Chest Xray Masks and Labels 	Chest	CXR	Lungs	704	CC0 1.0	https://www.kaggle.com/datasets/nikhilpandey360/chest-xray-masks-and-labels	https://ieeexplore.ieee.org/abstract/document/6616679 https://ieeexplore.ieee.org/document/6663723	Included in training set	@article{jaeger2013automatic,   title={Automatic tuberculosis screening using chest radiographs},   author={Jaeger, Stefan and Karargyris, Alexandros and Candemir, Sema and Folio, Les and Siegelman, Jenifer and Callaghan, Fiona and Xue, Zhiyun and Palaniappan, Kannappan and Singh, Rahul K and Antani, Sameer and others},   journal={IEEE Transactions on Medical Imaging},   volume={33},   number={2},   pages={233--245},   year={2013} } @article{candemir2013lung,   title={Lung segmentation in chest radiographs using anatomical atlases with nonrigid registration},   author={Candemir, Sema and Jaeger, Stefan and Palaniappan, Kannappan and Musco, Jonathan P and Singh, Rahul K and Xue, Zhiyun and Karargyris, Alexandros and Antani, Sameer and Thoma, George and McDonald, Clement J},   journal={IEEE Transactions on Medical Imaging},   volume={33},   number={2},   pages={577--590},   year={2013} }
2019	Chest X-Ray Pneumothorax	Chest	CXR	Pneumothorax	12047	CC BY 4.0	https://www.kaggle.com/datasets/vbookshelf/pneumothorax-chest-xray-images-and-masks	NA	Included in training set	@misc{kagglePneumothorax,   title = {Chest X-Ray Images with Pneumothorax Masks},   author = {{vbookshelf}},   year = {2020},   howpublished = {\url{https://www.kaggle.com/datasets/vbookshelf/pneumothorax-chest-xray-images-and-masks}} } @misc{kaggle2019SIIM-ACR,   title = {SIIM-ACR Pneumothorax Segmentation},   author = {Society for Imaging Informatics in Medicine (SIIM)},   year = {2019},   howpublished = {\url{https://www.kaggle.com/competitions/siim-acr-pneumothorax-segmentation/overview}} }
2015	GlaS@MICCAI'2015	Abdomen	Microscopy	Gland	165	Unknown	GlaS@MICCAI'2015: Gland Segmentation (kaggle.com)	http://arxiv.org/abs/1603.00275 https://pubmed.ncbi.nlm.nih.gov/25993703/		@article{sirinukunwattana2017gland,   title={Gland segmentation in colon histology images: The glas challenge contest},   author={Sirinukunwattana, Korsuk and Pluim, Josien PW and Chen, Hao and Qi, Xiaojuan and Heng, Pheng-Ann and Guo, Yun Bo and Wang, Li Yang and Matuszewski, Bogdan J and Bruni, Elia and Sanchez, Urko and others},   journal={Medical image analysis},   volume={35},   pages={489--502},   year={2017} } @article{sirinukunwattana2015stochastic,   title={A stochastic polygons model for glandular structures in colon histology images},   author={Sirinukunwattana, Korsuk and Snead, David RJ and Rajpoot, Nasir M},   journal={IEEE transactions on medical imaging},   volume={34},   number={11},   pages={2366--2378},   year={2015} }
2004	Drive	Vessel	Fundus	Fundus Blood vessel	40	Unknown	https://www.dropbox.com/sh/z4hbbzqai0ilqht/AAARqnQhjq3wQcSVFNR__6xNa?dl=0 https://drive.grand-challenge.org/	https://ieeexplore.ieee.org/document/1282003		@article{staal2004ridge,   title={Ridge-based vessel segmentation in color images of the retina},   author={Staal, Joes and Abr{\`a}moff, Michael D and Niemeijer, Meindert and Viergever, Max A and Van Ginneken, Bram},   journal={IEEE transactions on medical imaging},   volume={23},   number={4},   pages={501--509},   year={2004} }
2022	RAVIR	Eye	Fundus	Infrared Reflectance Imaging, Retinal Arteries and Veins	23	CC BY-NC-SA	https://drive.google.com/file/d/1ZlZoSStvE9VCRq3bJiGhQH931EF0h3hh/view https://ravir.grand-challenge.org/data/	https://ieeexplore.ieee.org/abstract/document/9744459?casa_token=bVo3jBzkoxYAAAAA:t2O9G3Y6cK05AxFEBL8oi_PyrOzbypsBHNCiKuqkiYTNG3gwzy7oNVo3dPpSmxFS-9B2dZJJzmjP1Q https://escholarship.org/uc/item/4r63v2bd		@article{hatamizadeh2022ravir,   title={RAVIR: A dataset and methodology for the semantic segmentation and quantitative analysis of retinal arteries and veins in infrared reflectance imaging},   author={Hatamizadeh, Ali and Hosseini, Hamid and Patel, Niraj and Choi, Jinseo and Pole, Cameron C and Hoeferlin, Cory M and Schwartz, Steven D and Terzopoulos, Demetri},   journal={IEEE Journal of Biomedical and Health Informatics},   volume={26},   number={7},   pages={3272--3283},   year={2022} } @book{hatamizadeh2020artificial,   title={An Artificial Intelligence Framework for the Automated Segmentation and Quantitative Analysis of Retinal Vasculature},   author={Hatamizadeh, Ali},   year={2020},   publisher={University of California, Los Angeles} }
2018	IDRiD	Eye	Fundus	optic disc	81	CC BY 4.0	https://ieee-dataport.org/open-access/indian-diabetic-retinopathy-image-dataset-idrid	https://www.mdpi.com/2306-5729/3/3/25	Included in training set	@article{porwal2018indian,   title={Indian diabetic retinopathy image dataset (IDRiD): a database for diabetic retinopathy screening research},   author={Porwal, Prasanna and Pachade, Samiksha and Kamble, Ravi and Kokare, Manesh and Deshmukh, Girish and Sahasrabuddhe, Vivek and Meriaudeau, Fabrice},   journal={Data},   volume={3},   number={3},   pages={25},   year={2018} }
2022	PAPILA	Eye	Fundus	Optic Disc (OD) Optic Cup (OC)	488	CC BY 4.0	https://figshare.com/articles/dataset/PAPILA/14798004/1	https://doi.org/10.1038/s41597-022-01388-1	Included in training set	@article{kovalyk2022papila,   title={PAPILA: Dataset with fundus images and clinical data of both eyes of the same patient for glaucoma assessment},   author={Kovalyk, Oleksandr and Morales-S{\'a}nchez, Juan and Verd{\'u}-Monedero, Rafael and Sell{\'e}s-Navarro, Inmaculada and Palaz{\'o}n-Cabanes, Ana and Sancho-G{\'o}mez, Jos{\'e}-Luis},   journal={Scientific Data},   volume={9},   number={1},   pages={291},   year={2022} }
2021	Intraretinal Cystoid Fluid	Eye	OCT	Cystoid Macular Edema	1460	CC BY-NC-SA 4.0		https://doi.org/10.1002/ima.22662	Included in training set	@article{ahmed2022deep,   title={Deep learning based automated detection of intraretinal cystoid fluid},   author={Ahmed, Zeeshan and Panhwar, Shahbaz Qamar and Baqai, Attiya and Umrani, Fahim Aziz and Ahmed, Munawar and Khan, Arbaaz},   journal={International Journal of Imaging Systems and Technology},   volume={32},   number={3},   pages={902--917},   year={2022} }
2018	hc18	Head	US	fetal head circumference	999	CC BY 4.0	https://zenodo.org/record/1327317	https://doi.org/10.1371/journal.pone.0200412 http://doi.org/10.5281/zenodo.1322001	Included in training set	@article{van2018automated,   title={Automated measurement of fetal head circumference using 2D ultrasound images},   author={van den Heuvel, Thomas LA and de Bruijn, Dagmar and de Korte, Chris L and Ginneken, Bram van},   journal={PloS One},   volume={13},   number={8},   pages={e0200412},   year={2018} } @dataset{TLAVanDenHeuvel20181322001,   author       = {T.L.A. van den Heuvel and                   Dagmar de Bruijn and                   Chris L. de Korte and                   Bram van Ginneken},   title        = {Automated measurement of fetal head circumference},   month        = Jul,   year         = 2018,   doi          = {10.5281/zenodo.1322001} }
2020	FetoPlac	Vessel	Microscopy	Fetoscopic optical camera	482	CC BY-NC-SA	https://weiss-develop.cs.ucl.ac.uk/fetoscopy-data/fetoscopy-placenta-dataset/fetoscopy-placenta-dataset.zip	https://link.springer.com/chapter/10.1007/978-3-030-59716-0_73		@inproceedings{bano2020vessel, title={Deep Placental Vessel Segmentation for Fetoscopic Mosaicking}, author={Bano, Sophia and Vasconcelos, Francisco and Shepherd, Luke M. and Vander Poorten, Emmanue and Vercauteren, Tom and Ourselin, Sebastien and David, Anna L. and Deprest, Jan and Stoyanov, Danail}, booktitle={International Conference on Medical Image Computing and Computer-Assisted Intervention}, year={2020} }
2023	HaN-Seg	Head and Neck	CT	Head	42	CC BY NC-ND	HaN-Seg: The head and neck organ-at-risk CT & MR segmentation dataset (zenodo.org)	https://aapm.onlinelibrary.wiley.com/doi/full/10.1002/mp.16197?af=R		@article{podobnik2023han,   title={HaN-Seg: The head and neck organ-at-risk CT and MR segmentation dataset},   author={Podobnik, Ga{\v{s}}per and Strojan, Primo{\v{z}} and Peterlin, Primo{\v{z}} and Ibragimov, Bulat and Vrtovec, Toma{\v{z}}},   journal={Medical physics},   volume={50},   number={3},   pages={1917--1927},   year={2023} }
2022	GammaKnife-Hippocampal	Head	CT	Hippocampal Contours	390	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=83592528	https://doi.org/10.1002/mp.14098	TCIA is very responsive for data request	@article{porter2020hippocampus,   title={Hippocampus segmentation on noncontrast CT using deep learning},   author={Porter, Evan and Fuentes, Patricia and Siddiqui, Zaid and Thompson, Andrew and Levitin, Ronald and Solis, David and Myziuk, Nick and Guerrero, Thomas},   journal={Medical physics},   volume={47},   number={7},   pages={2950--2961},   year={2020} }
2022	GammaKnife-Hippocampal	Head	MR	Hippocampal Contours	3868	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=83592528	https://doi.org/10.1002/mp.14098	TCIA is very responsive for data request	@article{porter2020hippocampus,   title={Hippocampus segmentation on noncontrast CT using deep learning},   author={Porter, Evan and Fuentes, Patricia and Siddiqui, Zaid and Thompson, Andrew and Levitin, Ronald and Solis, David and Myziuk, Nick and Guerrero, Thomas},   journal={Medical physics},   volume={47},   number={7},   pages={2950--2961},   year={2020} }
2021	BraTS	Head	MR-T1, T1Gd, T2, FLAIR	Enhancing tumor Peritumoral edematous/invaded tissue Necrotic tumor core	1251	CC BY-NC	http://braintumorsegmentation.org/	https://ieeexplore.ieee.org/document/6975210 https://arxiv.org/abs/1811.02629	Included in training set	@article{Brats15-TMI,   title={The multimodal brain tumor image segmentation benchmark (BRATS)},   author={Menze, Bjoern H and Jakab, Andras and Bauer, Stefan and Kalpathy-Cramer, Jayashree and Farahani, Keyvan and Kirby, Justin and Burren, Yuliya and Porz, Nicole and Slotboom, Johannes and Wiest, Roland and others},   journal={IEEE Transactions on Medical Imaging},   volume={34},   number={10},   pages={1993--2024},   year={2014} }  @article{bakas2018brats,   title={Identifying the best machine learning algorithms for brain tumor segmentation, progression assessment, and overall survival prediction in the BRATS challenge},   author={Bakas, Spyridon and Reyes, Mauricio and Jakab, Andras and Bauer, Stefan and Rempfler, Markus and Crimi, Alessandro and others},   journal={arXiv preprint arXiv:1811.02629},   year={2018} }
2023	ps-fh-aop-2023	Pelvis	US	Pubic symphysis Fetal head	4000	CC BY 4.0	https://zenodo.org/record/7851339#.ZEH6eHZBztU	https://doi.org/10.1016/j.dib.2022.107904	Included in training set	@article{lu2022jnu,   title={The JNU-IFM dataset for segmenting pubic symphysis-fetal head},   author={Lu, Yaosheng and Zhou, Mengqiang and Zhi, Dengjiang and Zhou, Minghong and Jiang, Xiaosong and Qiu, Ruiyu and Ou, Zhanhong and Wang, Huijin and Qiu, Di and Zhong, Mei and others},   journal={Data in Brief},   volume={41},   pages={107904},   year={2022} }
2020	OPC-Radiomics	Head and Neck	CT	Oropharynx tumor	606	TCIA Restricted	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=33948764	https://www.sciencedirect.com/science/article/pii/S0360301618301299?via%3Dihub	TCIA is very responsive for data request	@article{kwan2018radiomic,   title={Radiomic biomarkers to refine risk models for distant metastasis in HPV-related oropharyngeal carcinoma},   author={Kwan, Jennifer Yin Yee and Su, Jie and Huang, Shao Hui and Ghoraie, Laleh S and Xu, Wei and Chan, Biu and Yip, Kenneth W and Giuliani, Meredith and Bayley, Andrew and Kim, John and others},   journal={International Journal of Radiation Oncology* Biology* Physics},   volume={102},   number={4},   pages={1107--1116},   year={2018} }
2023	TCGA-HNSC	Head and Neck	CT	Head-neck cancer	2561	TCIA Restricted	https://www.cancerimagingarchive.net/collection/tcga-hnsc/	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=11829589#11829589e26236b332b8438fbc8f5463e31de8cf	TCIA is very responsive for data request	@misc{zuley2016hnsc, title={The Cancer Genome Atlas Head-Neck Squamous Cell Carcinoma Collection (TCGA-HNSC) (Version 6) [Data set]}, DOI={10.7937/K9/TCIA.2016.LXKQ47MS}, url={https://doi.org/10.7937/K9/TCIA.2016.LXKQ47MS}, author={Zuley, M. L. and Jarosz, R. and Kirk, S. and Lee, Y. and Colen, R. and Garcia, K. and Delbeke, D. and Pham, M. and Nagy, P. and Sevinc, G. and Goldsmith, M. and Khan, S. and Net, J. M. and Lucchesi, F. R. and Aredes, N. D.}, publisher={The Cancer Imaging Archive}, year={2016} }
2023	MM-WHS	Chest	CT, MR	Heart	120	Unknown	https://zmiclab.github.io/zxh/0/mmwhs/	https://www.sciencedirect.com/journal/medical-image-analysis/special-issue/10MFST0CK73 https://ieeexplore.ieee.org/document/8458220/ https://ieeexplore.ieee.org/document/9965747 https://ieeexplore.ieee.org/document/9921323	Authors are very responsive for data request	@article{gao2023bayeseg,   title={BayeSeg: Bayesian modeling for medical image segmentation with interpretable generalizability},   author={Gao, Shangqi and Zhou, Hangqi and Gao, Yibo and Zhuang, Xiahai},   journal={Medical Image Analysis},   volume={89},   pages={102889},   year={2023} } @article{zhuang2018multivariate,   title={Multivariate mixture model for myocardial segmentation combining multi-source images},   author={Zhuang, Xiahai},   journal={IEEE transactions on pattern analysis and machine intelligence},   volume={41},   number={12},   pages={2933--2946},   year={2018} } @article{luo2022mathcal,   title={$$\backslash$mathcal $\{$X$\}$ $-Metric: An N-Dimensional Information-Theoretic Framework for Groupwise Registration and Deep Combined Computing},   author={Luo, Xinzhe and Zhuang, Xiahai},   journal={IEEE Transactions on Pattern Analysis and Machine Intelligence},   volume={45},   number={7},   pages={9206--9224},   year={2022} } @article{wu2022minimizing,   title={Minimizing estimated risks on unlabeled data: A new formulation for semi-supervised medical image segmentation},   author={Wu, Fuping and Zhuang, Xiahai},   journal={IEEE Transactions on Pattern Analysis and Machine Intelligence},   volume={45},   number={5},   pages={6021--6036},   year={2022} }
2021	MMs-20-21	Chest	MR	LV, Myocardium, RV	150	Unknown	https://www.ub.edu/mnms/ https://www.ub.edu/mnms-2/	https://ieeexplore.ieee.org/abstract/document/9458279	Authors are very responsive for data request	@article{campello2021multi,   title={Multi-centre, multi-vendor and multi-disease cardiac segmentation: the M\&Ms challenge},   author={Campello, Victor M and Gkontra, Polyxeni and Izquierdo, Cristian and Martin-Isla, Carlos and Sojoudi, Alireza and Full, Peter M and Maier-Hein, Klaus and Zhang, Yao and He, Zhiqiang and Ma, Jun and others},   journal={IEEE Transactions on Medical Imaging},   volume={40},   number={12},   pages={3543--3554},   year={2021} }
2017	ACDC	Chest	MR	Right Ventricle, Left Ventricle,  Myocardium	150	Unknown	https://humanheart-project.creatis.insa-lyon.fr/database/#collection/637218c173e9f0047faa00fb	https://ieeexplore.ieee.org/document/8360453		@article{bernard2018deep,   title={Deep learning techniques for automatic MRI cardiac multi-structures segmentation and diagnosis: is the problem solved?},   author={Bernard, Olivier and Lalande, Alain and Zotti, Clement and Cervenansky, Frederick and Yang, Xin and Heng, Pheng-Ann and Cetin, Irem and Lekadir, Karim and Camara, Oscar and Ballester, Miguel Angel Gonzalez and others},   journal={IEEE transactions on medical imaging},   volume={37},   number={11},   pages={2514--2525},   year={2018} }
2019	CAMUS	Chest	US	LV, Myocardium, RV	500	Unknown	Human Heart Project (insa-lyon.fr)	https://www.creatis.insa-lyon.fr/Challenge/camus/files/tmi_2019_leclerc.pdf		@article{leclerc2019deep,   title={Deep learning for segmentation using an open large-scale dataset in 2D echocardiography},   author={Leclerc, Sarah and Smistad, Erik and Pedrosa, Joao and {\O}stvik, Andreas and Cervenansky, Frederic and Espinosa, Florian and Espeland, Torvald and Berg, Erik Andreas Rye and Jodoin, Pierre-Marc and Grenier, Thomas and others},   journal={IEEE transactions on medical imaging},   volume={38},   number={9},   pages={2198--2210},   year={2019} }
2024	HMC-QU	Chest	US	myocardial infarction (MI) detection on the left ventricle wall of the heart	4607	CC BY-NC-SA	https://www.kaggle.com/datasets/aysendegerli/hmcqu-dataset	https://doi.org/10.1016/j.bspc.2023.105448 https://doi.org/10.1109/ACCESS.2021.3059595 https://doi.org/10.1109/ACCESS.2020.3038743 https://doi.org/10.22489/CinC.2023.240		@article{degerli2024early,   title={Early myocardial infarction detection over multi-view echocardiography},   author={Degerli, Aysen and Kiranyaz, Serkan and Hamid, Tahir and Mazhar, Rashid and Gabbouj, Moncef},   journal={Biomedical Signal Processing and Control},   volume={87},   pages={105448},   year={2024} } @article{degerli2021early,   title={Early detection of myocardial infarction in low-quality echocardiography},   author={Degerli, Aysen and Zabihi, Morteza and Kiranyaz, Serkan and Hamid, Tahir and Mazhar, Rashid and Hamila, Ridha and Gabbouj, Moncef},   journal={IEEE Access},   volume={9},   pages={34442--34453},   year={2021} @article{kiranyaz2020left,   title={Left ventricular wall motion estimation by active polynomials for acute myocardial infarction detection},   author={Kiranyaz, Serkan and Degerli, Aysen and Hamid, Tahir and Mazhar, Rashid and Ahmed, Rayyan El Fadil and Abouhasera, Rayaan and Zabihi, Morteza and Malik, Junaid and Hamila, Ridha and Gabbouj, Moncef},   journal={IEEE Access},   volume={8},   pages={210301--210317},   year={2020} } @inproceedings{adalioglu2023saf,   title={SAF-Net: Self-Attention Fusion Network for Myocardial Infarction Detection Using Multi-View Echocardiography},   author={Adalioglu, Ilke and Ahishali, Mete and Degerli, Aysen and Kiranyaz, Serkan and Gabbouj, Moncef},   booktitle={2023 Computing in Cardiology (CinC)},   volume={50},   pages={1--4},   year={2023} }
2023	ARCADE	Chest	X-Ray	Vessel	1500	CC Zero v1.0 Universal	https://doi.org/10.5281/zenodo.10390295	https://www.nature.com/articles/s41597-023-02871-z		@article{popov2024dataset,   title={Dataset for Automatic Region-based Coronary Artery Disease Diagnostics Using X-Ray Angiography Images},   author={Popov, Maxim and Amanturdieva, Akmaral and Zhaksylyk, Nuren and Alkanov, Alsabir and Saniyazbekov, Adilbek and Aimyshev, Temirgali and Ismailov, Eldar and Bulegenov, Ablay and Kuzhukeyev, Arystan and Kulanbayeva, Aizhan and others},   journal={Scientific Data},   volume={11},   number={1},   pages={20},   year={2024} }
2021	HuBMAP - Hacking the Kidney	Abdomen	Pathology	glomeruli FTU	3773	Unknown	HuBMAP - Hacking the Kidney | Kaggle	https://www.nature.com/articles/s42003-023-04848-5		@misc{kaggle2021HuBMAPkidney,   title = {{HuBMAP - Hacking the Kidney: Identify glomeruli in human kidney tissue images}},   author = {{InnovationDigi}},   year = {2021},   howpublished = {\url{https://www.kaggle.com/competitions/hubmap-kidney-segmentation/data?select=test}} }
2020	CT2USforKidneySeg	Abdomen	US	kidney	4586	GPL 2	CT2USforKidneySeg (kaggle.com)	https://www.sciencedirect.com/science/article/pii/S0041624X22000191		@article{song2022ct2us,   title={CT2US: Cross-modal transfer learning for kidney segmentation in ultrasound images with synthesized data},   author={Song, Yuxin and Zheng, Jing and Lei, Long and Ni, Zhipeng and Zhao, Baoliang and Hu, Ying},   journal={Ultrasonics},   volume={122},   pages={106706},   year={2022} }
2022	HuBMAP - HPA 	Abdomen	Pathology	functional tissue unit (FTU)	522 patches (1024*1024) from 58 images	Unknown	HuBMAP + HPA - Hacking the Human Body | Kaggle	NA		@misc{kaggle2022HuBMAPHPA,   title = {{HuBMAP + HPA - Hacking the Human Body}},   author = {{HuBMAP + HPA}},   year = {2022},   howpublished = {\url{https://www.kaggle.com/competitions/hubmap-organ-segmentation}} }
2022	HCC-TACE-Seg	Abdomen	CT	Tumor	74	CC BY 4.0	https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=70230229	https://doi.org/10.1148/ryai.2019180021 	Included in training set	@article{HCC-TACE,   title={A Machine Learning Model to Predict Hepatocellular Carcinoma Response to Transcatheter Arterial Chemoembolization},   author={Morshid, Ahmed and Elsayes, Khaled M. and Khalaf, Ahmed M. and Elmohr, Mohamed M. and Yu, Jian and Kaseb, Ahmed O. and Hassan, Mohamed and Mahvash, Armeen and Wang, Zeshan and Hazle, John D. and Fuentes, David},   journal={Radiology: Artificial Intelligence},   volume={1},   number={5},   pages={e180021},   year={2019} }
2020	NSCLC-Radiomics	Chest	CT	tumor	400	CC BY-NC 3.0	https://wiki.cancerimagingarchive.net/display/Public/NSCLC-Radiomics	https://doi.org/10.1038/ncomms5006	Included in training set	@article{aerts2014decoding,   title={Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach},   author={Aerts, Hugo JWL and Velazquez, Emmanuel Rios and Leijenaar, Ralph TH and Parmar, Chintan and Grossmann, Patrick and Carvalho, Sara and Bussink, Johan and Monshouwer, Ren{\'e} and Haibe-Kains, Benjamin and Rietveld, Derek and others},   journal={Nature Communications},   volume={5},   number={1},   pages={4006},   year={2014} }
2021	COVID-19 Radiography Database	Chest	CXR	Lungs	21165	Academic/Non-Commercial Use	https://www.kaggle.com/datasets/tawsifurrahman/covid19-radiography-database	https://doi.org/10.1016/j.compbiomed.2021.104319 https://ieeexplore.ieee.org/document/9144185	Included in training set	@article{rahman2021exploring,   title={Exploring the effect of image enhancement techniques on COVID-19 detection using chest X-ray images},   author={Rahman, Tawsifur and Khandakar, Amith and Qiblawey, Yazan and Tahir, Anas and Kiranyaz, Serkan and Kashem, Saad Bin Abul and Islam, Mohammad Tariqul and Al Maadeed, Somaya and Zughaier, Susu M and Khan, Muhammad Salman and others},   journal={Computers in Biology and Medicine},   volume={132},   pages={104319},   year={2021} } @article{chowdhury2020can,   title={Can AI help in screening viral and COVID-19 pneumonia?},   author={Chowdhury, Muhammad EH and Rahman, Tawsifur and Khandakar, Amith and Mazhar, Rashid and Kadir, Muhammad Abdul and Mahbub, Zaid Bin and Islam, Khandakar Reajul and Khan, Muhammad Salman and Iqbal, Atif and Al Emadi, Nasser and others},   journal={Ieee Access},   volume={8},   pages={132665--132676},   year={2020} }
